classname,name,time_seconds,outcome
tests.bridge.test_bridge_capture,test_show_only_script_is_captured,0.395,passed
tests.bridge.test_bridge_capture,test_savefig_is_captured_and_passed_through,0.418,passed
tests.bridge.test_bridge_capture,test_no_show_no_savefig_is_still_captured,0.377,passed
tests.bridge.test_bridge_capture,test_multiple_figures_are_all_captured_in_order,0.436,passed
tests.bridge.test_bridge_capture,test_savefig_then_still_in_gcf_is_not_captured_twice,0.419,passed
tests.bridge.test_bridge_capture,test_oo_figure_never_owned_by_pyplot_is_captured_via_savefig,0.413,passed
tests.bridge.test_bridge_capture,test_closed_figures_are_not_captured,0.456,passed
tests.bridge.test_bridge_capture,test_figure_number_gaps_never_leak_into_the_stem,0.436,passed
tests.bridge.test_bridge_capture,test_repeated_show_captures_each_new_figure_once,0.408,passed
tests.bridge.test_bridge_capture,test_a_figure_created_after_the_first_barrier_reaches_the_session,0.529,passed
tests.bridge.test_bridge_capture,test_editing_survives_the_next_barrier,0.575,passed
tests.bridge.test_bridge_capture,test_sys_exit_still_hands_over_the_figures,0.377,passed
tests.bridge.test_bridge_capture,test_exception_after_the_figure_still_hands_it_over,0.371,passed
tests.bridge.test_bridge_capture,test_user_stdout_is_never_mistaken_for_protocol,0.375,passed
tests.native.test_env_lease,test_mutation_blocks_native_start,0.001,passed
tests.native.test_env_lease,test_active_native_blocks_install,0.000,passed
tests.native.test_env_lease,test_an_active_native_session_is_never_killed_by_an_installer,0.000,passed
tests.native.test_env_lease,test_unrelated_environment_not_blocked,0.000,passed
tests.native.test_env_lease,test_lease_released_on_exit,0.000,passed
tests.native.test_env_lease,test_lease_released_on_crash,0.000,passed
tests.native.test_env_lease,test_a_failed_acquire_does_not_release_someone_elses_lease,0.000,passed
tests.native.test_env_lease,test_two_native_sessions_on_one_environment_are_both_counted,0.000,passed
tests.native.test_env_lease,test_state_of_reports_the_closed_set,0.000,passed
tests.native.test_env_lease,test_pool_is_a_consumer_not_a_second_table,0.000,passed
tests.native.test_env_lease,test_deprepair_reports_the_native_case_with_its_own_code,0.000,passed
tests.native.test_env_lease,test_concurrent_acquire_and_mutate_never_both_win,0.003,passed
tests.native.test_native_api,test_pending_never_returns_the_token_or_the_port,0.007,passed
tests.native.test_native_api,test_a_bad_native_id_is_a_404_with_a_stable_code,0.001,passed
tests.native.test_native_api,test_a_traversal_shaped_id_never_reaches_a_file,0.001,passed
tests.native.test_native_api,test_a_consumed_descriptor_is_409_with_its_own_code,0.002,passed
tests.native.test_native_api,test_cancel_makes_the_descriptor_unusable,0.002,passed
tests.native.test_native_api,test_the_request_body_cannot_replace_the_invocation,0.001,passed
tests.native.test_native_api,test_remember_is_opt_in_and_scoped,0.002,passed
tests.native.test_native_api,test_a_permission_can_be_revoked,0.001,passed
tests.native.test_native_api,test_a_schema_bump_invalidates_old_permissions,0.001,passed
tests.native.test_native_api,test_unknown_session_is_404,0.001,passed
tests.native.test_native_api,test_a_rejected_attach_leaves_the_credential_usable,0.001,passed
tests.native.test_native_api,test_a_rejected_attach_keeps_the_cli_waiting_so_the_retry_can_land,1.503,passed
tests.native.test_native_api,test_cancelling_after_a_rejected_attach_ends_the_wait_at_once,0.256,passed
tests.native.test_native_api,test_a_failed_tombstone_write_never_reports_a_live_session_as_a_failure,0.002,passed
tests.native.test_native_api,test_a_successful_attach_still_burns_the_credential,0.002,passed
tests.native.test_native_api,test_a_bridge_failure_is_never_reported_as_a_success[build],0.001,passed
tests.native.test_native_api,test_a_bridge_failure_is_never_reported_as_a_success[continue],0.001,passed
tests.native.test_native_api,test_a_bridge_failure_is_never_reported_as_a_success[detach],0.001,passed
tests.native.test_native_api,test_a_bridge_failure_is_never_reported_as_a_success[terminate],0.001,passed
tests.native.test_native_api,test_every_worker_error_payload_in_app_carries_a_status_code,0.002,passed
tests.native.test_native_api,test_a_native_panel_never_falls_back_to_a_safe_worker,0.000,passed
tests.native.test_native_api,test_a_safe_panel_never_switches_to_a_live_native_session,0.000,passed
tests.native.test_native_api,test_profile_defaults_to_safe_when_the_cache_says_nothing,0.001,passed
tests.native.test_native_api,test_the_resolver_is_the_only_place_that_branches,0.001,passed
tests.native.test_native_api,test_both_worker_kinds_provide_the_whole_worker_like_surface[EngineWorker],0.001,passed
tests.native.test_native_api,test_both_worker_kinds_provide_the_whole_worker_like_surface[NativeSession],0.000,passed
tests.native.test_native_api,test_the_render_call_shape_fits_both_worker_kinds,0.000,passed
tests.native.test_native_api,test_a_native_session_answers_the_attributes_the_routes_read,0.001,passed
tests.native.test_native_api,test_the_registry_attach_really_authenticates,0.002,passed
tests.native.test_native_registry,test_native_register_and_state_machine,0.001,passed
tests.native.test_native_registry,test_the_registry_is_not_the_worker_pool,0.001,passed
tests.native.test_native_registry,test_native_duplicate_attach_is_refused,0.001,passed
tests.native.test_native_registry,test_native_not_at_barrier,0.001,passed
tests.native.test_native_registry,test_native_single_reader,0.001,passed
tests.native.test_native_registry,test_native_timeout_does_not_leave_a_second_reader,0.509,passed
tests.native.test_native_registry,test_a_malformed_frame_fails_the_session,0.001,passed
tests.native.test_native_registry,test_native_disconnect_wakes_waiters,0.001,passed
tests.native.test_native_registry,test_a_mismatched_echo_poisons_the_session,0.001,passed
tests.native.test_native_registry,test_the_envelope_comes_from_the_one_place,0.001,passed
