file,total_seconds,call_seconds,setup_seconds,teardown_seconds,call_rows_ge_5ms
tests/test_package_lookup.py,0.29,0.02,0.27,0.0,2
tests/test_export_endpoint.py,0.29,0.29,0.0,0.0,6
tests/test_write_back.py,0.27,0.05,0.22,0.0,4
tests/test_render_cache.py,0.27,0.18,0.09,0.0,6
tests/test_runtime_build.py,0.26,0.1,0.16,0.0,1
tests/test_ai_bridge.py,0.22,0.22,0.0,0.0,5
tests/test_mcp_diagnose.py,0.22,0.21,0.01,0.0,5
tests/test_workerd_pool.py,0.2,0.0,0.2,0.0,0
tests/test_paths_and_baked.py,0.2,0.05,0.15,0.0,4
tests/test_ai_agents.py,0.17,0.17,0.0,0.0,6
tests/test_worker_protocol.py,0.15,0.0,0.15,0.0,0
tests/test_desktop_codex_button.py,0.14,0.14,0.0,0.0,2
tests/test_font_provenance.py,0.14,0.14,0.0,0.0,2
tests/test_original_spec.py,0.13,0.02,0.11,0.0,2
tests/test_playground_build.py,0.12,0.12,0.0,0.0,1
tests/test_axes_traversal_authority.py,0.12,0.12,0.0,0.0,3
tests/test_tiffwrite.py,0.12,0.0,0.12,0.0,0
tests/test_migrate.py,0.1,0.0,0.1,0.0,0
tests/test_updater_manifest.py,0.09,0.0,0.09,0.0,0
tests/test_pr_conflict_domains.py,0.09,0.0,0.09,0.0,0
tests/test_handoff.py,0.08,0.08,0.0,0.0,2
tests/test_update_chain_gates.py,0.08,0.05,0.03,0.0,2
tests/test_preflight.py,0.07,0.06,0.01,0.0,1
tests/test_error_codes.py,0.06,0.06,0.0,0.0,2
tests/test_legal_contribution_policy.py,0.06,0.05,0.01,0.0,2
tests/test_compose_annotations.py,0.06,0.06,0.0,0.0,6
tests/test_package.py,0.06,0.0,0.06,0.0,0
tests/test_compat_manifest.py,0.05,0.04,0.01,0.0,1
tests/test_telemetry_integrations.py,0.05,0.0,0.05,0.0,0
tests/test_merge_queue_ruleset.py,0.05,0.0,0.05,0.0,0
tests/test_export_request.py,0.04,0.04,0.0,0.0,1
tests/test_docs_references.py,0.04,0.04,0.0,0.0,2
tests/test_legend_model_pairs.py,0.04,0.04,0.0,0.0,2
tests/test_telemetry_api.py,0.04,0.0,0.04,0.0,0
tests/test_blame_ignore_revs.py,0.03,0.03,0.0,0.0,1
tests/test_distribution_metrics.py,0.03,0.03,0.0,0.0,1
tests/test_registry.py,0.03,0.0,0.03,0.0,0
tests/test_annotate_asset.py,0.03,0.03,0.0,0.0,3
tests/test_nsis_template.py,0.02,0.02,0.0,0.0,1
tests/test_tracked_paths_are_windows_safe.py,0.02,0.02,0.0,0.0,1
tests/test_compose_switched_shapes.py,0.02,0.02,0.0,0.0,2
tests/test_updater_zip.py,0.02,0.0,0.02,0.0,0
tests/test_typography_families.py,0.02,0.01,0.01,0.0,1
tests/test_ai_history.py,0.02,0.02,0.0,0.0,2
tests/test_mcp_roots.py,0.02,0.0,0.02,0.0,0
tests/test_mcp_resolver.py,0.01,0.01,0.0,0.0,1
tests/test_compose_text.py,0.01,0.01,0.0,0.0,1
tests/test_governance.py,0.01,0.01,0.0,0.0,1
tests/test_nightly_registry_status_contract.py,0.01,0.0,0.01,0.0,0
tests/test_normalize.py,0.01,0.0,0.01,0.0,0
