# gh api repos/Tavotto/Tavotto/actions/workflows/lab-ci.yml/runs?per_page=30 → 每个 run 的 jobs；抓取 2026-09-15T22:03Z
run_id	job	runner_name	runner_group_name	labels	started_at	conclusion
34764932043	trust-check	GitHub Actions 1000019871	GitHub Actions	ubuntu-latest	2026-09-13T15:13:07Z	success
34764932043	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-13T15:46:41Z	success
34764430366	trust-check	GitHub Actions 1000019843	GitHub Actions	ubuntu-latest	2026-09-13T15:03:06Z	success
34764430366	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-13T15:03:18Z	success
34759326631	trust-check	GitHub Actions 1000019650	GitHub Actions	ubuntu-latest	2026-09-13T13:15:26Z	success
34759326631	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-13T13:53:35Z	success
34758420998	trust-check	GitHub Actions 1000019614	GitHub Actions	ubuntu-latest	2026-09-13T12:55:45Z	success
34758420998	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-13T13:12:08Z	success
34755813504	trust-check	GitHub Actions 1000019483	GitHub Actions	ubuntu-latest	2026-09-13T11:58:25Z	success
34755813504	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-13T12:30:50Z	success
34755414715	trust-check	GitHub Actions 1000019464	GitHub Actions	ubuntu-latest	2026-09-13T11:48:55Z	success
34755414715	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-13T11:49:07Z	success
34719235653	trust-check	GitHub Actions 1000019102	GitHub Actions	ubuntu-latest	2026-09-12T21:11:31Z	success
34719235653	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-12T21:11:45Z	success
34702147347	trust-check	GitHub Actions 1000019087	GitHub Actions	ubuntu-latest	2026-09-12T15:24:44Z	success
34702147347	qualify / qualify	tavotto-ci-01	Default	self-hosted,linux,x64,tavotto-lab	2026-09-12T15:24:55Z	failure
